Taxonomy	Last.taxonomic.level	Species.found.in.Metatranscriptomic.dataset.(Monjot.et.al.2023)	Trophic.modes	Type_1	Type_2	Description_of_mixotrophy	Description_of_endophytic_interaction	Description_of_biotic_interaction_and_pathology	Host.symbiont	References_1	References_2	References_3	References_4	Retained_in_the_analysis
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Clavicipitaceae/g_Moelleriella	Moelleriella	Moelleriella libera	PARA	Obligate					Insects	https://doi.org/10.3114/sim.2008.60.01				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Clavicipitaceae/g_Pochonia	Pochonia	Pochonia chlamydosporia	PARA	Obligate					Nematode	https://doi.org/10.3389/fpls.2019.00945				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Clavicipitaceae/g_Torrubiella	Torrubiella	Torrubiella hemipterigena	PARA	Obligate					Insects	https://doi.org/10.1017/S0953756297003912				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Cordycipitaceae/g_	Cordycipitaceae		PARA	Obligate										Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Cordycipitaceae/g_Beauveria	Beauveria	Beauveria bassiana + Beauveria brongniartii	PARA	Obligate					Insects	https://doi.org/10.3389/fmicb.2021.705343				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Cordycipitaceae/g_Cordyceps	Cordyceps	Cordyceps confragosa + Cordyceps fumosorosea + Cordyceps militaris + Cordyceps sp. RAO-2017	PARA	Obligate					Insects	https://doi.org/10.3390/insects12020179				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Hypocreaceae/g_	Hypocreaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Hypocreaceae/g_Escovopsis	Escovopsis	Escovopsis weberi	PARA	Obligate					Fungi	https://doi.org/10.1186/s43008-021-00078-8	https://doi.org/10.1073/pnas.1518501113	https://doi.org/10.1073/pnas.1518501113		Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Hypocreaceae/g_Trichoderma	Trichoderma	Trichoderma asperellum + Trichoderma atroviride + Trichoderma gamsii + Trichoderma guizhouense + Trichoderma harzianum + Trichoderma longibrachiatum + Trichoderma reesei + Trichoderma virens	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Nectriaceae/g_	Nectriaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Nectriaceae/g_Fusarium	Fusarium	Fusarium clavum + Fusarium culmorum + Fusarium fujikuroi + Fusarium graminearum + Fusarium mangiferae + Fusarium nygamai + Fusarium oxysporum + Fusarium poae + Fusarium proliferatum + Fusarium venenatum + Fusarium verticillioides + [Nectria] haematococca	PARA	Facultative	Endophyte		Hemibiotrophic	Fusarium head blight in wheat and barley	Phytopathogen	https://doi.org/10.3389/fpls.2013.00037				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Nectriaceae/g_Neonectria	Neonectria	Neonectria ditissima	PARA	Facultative	Endophyte		Necrotrophic	European Canker	Phytopathogen	https://doi.org/10.1186/s43170-021-00024-z	https://doi.org/10.1371/journal.pone.0238157			Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Ophiocordycipitaceae/g_	Ophiocordycipitaceae		PARA	Obligate										Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Ophiocordycipitaceae/g_Drechmeria	Drechmeria	Drechmeria coniospora	PARA	Obligate					Insects	https://doi.org/10.3389/ffunb.2021.778882				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Ophiocordycipitaceae/g_Hirsutella	Hirsutella	Hirsutella minnesotensis	PARA	Obligate					Insects	https://doi.org/10.2307/3761576				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Ophiocordycipitaceae/g_Ophiocordyceps	Ophiocordyceps	Ophiocordyceps australis + Ophiocordyceps camponoti-rufipedis + Ophiocordyceps sinensis + Ophiocordyceps unilateralis	PARA	Obligate					Insects	https://doi.org/10.1038/s41598-017-12863-w				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Ophiocordycipitaceae/g_Purpureocillium	Purpureocillium	Purpureocillium lilacinum	PARA	Facultative	Rare Infection				Multiple	https://doi.org/10.1128/JCM.00150-12				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Ophiocordycipitaceae/g_Tolypocladium	Tolypocladium	Tolypocladium capitatum + Tolypocladium ophioglossoides + Tolypocladium paradoxum	PARA	Obligate					Fungi	https://doi.org/10.1186/s12864-015-1777-9				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Sarocladiaceae/g_Sarocladium	Sarocladium	Sarocladium strictum	PARA	Facultative	Rare Infection				Human	https://doi.org/10.3389/fmed.2021.762763				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Stachybotryaceae/g_Stachybotrys	Stachybotrys	Stachybotrys chartarum + Stachybotrys chlorohalonata	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Magnaporthales/f_Magnaporthaceae/g_	Magnaporthaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Magnaporthales/f_Magnaporthaceae/g_Gaeumannomyces	Gaeumannomyces	Gaeumannomyces tritici	PARA	Facultative	Endophyte		Necrotrophic	root rot disease in wheat	Phytopathogen	https://doi.org/10.1186/s42483-020-00066-7				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Magnaporthales/f_Magnaporthaceae/g_Magnaporthiopsis	Magnaporthiopsis	Magnaporthiopsis poae	PARA	Facultative	Endophyte		Necrotrophic		Phytopathogen	https://doi.org/10.1080/00275514.2019.1676614	https://doi.org/10.3852/12-359			Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Magnaporthales/f_Pyriculariaceae/g_Pyricularia	Pyricularia	Pyricularia grisea + Pyricularia oryzae	PARA	Facultative	Endophyte		Hemibiotrophic		Phytopathogen	https://doi.org/10.1094/PHYTO-10-18-0383-R	10.1016/j.tim.2017.12.007			Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Microascales/f_/g_	Microascales		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Microascales/f_Ceratocystidaceae/g_	Ceratocystidaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Microascales/f_Ceratocystidaceae/g_Ceratocystis	Ceratocystis	Ceratocystis fimbriata + Ceratocystis platani	PARA	Facultative	Endophyte		Hemibiotrophic		Phytopathogen	https://doi.org/10.1094/PHYTO-05-20-0165-R				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Microascales/f_Ceratocystidaceae/g_Thielaviopsis	Thielaviopsis	Thielaviopsis punctulata	PARA	Facultative	Endophyte			black scorch disease	Multiple					Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Microascales/f_Halosphaeriaceae/g_Clavariopsis	Clavariopsis	Clavariopsis aquatica	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Microascales/f_Microascaceae/g_	Microascaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Microascales/f_Microascaceae/g_Lomentospora	Lomentospora	Lomentospora prolificans	PARA	Facultative	Rare Infection				Human	https://doi.org/10.3390/microorganisms10071317				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Microascales/f_Microascaceae/g_Microascus	Microascus	Microascus restrictus	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Microascales/f_Microascaceae/g_Scedosporium	Scedosporium	Scedosporium apiospermum	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Ophiostomatales/f_Ophiostomataceae/g_	Ophiostomataceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Ophiostomatales/f_Ophiostomataceae/g_Grosmannia	Grosmannia	Grosmannia clavigera	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Ophiostomatales/f_Ophiostomataceae/g_Ophiostoma	Ophiostoma	Ophiostoma novo-ulmi + Ophiostoma piceae	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Ophiostomatales/f_Ophiostomataceae/g_Sporothrix	Sporothrix	Sporothrix brasiliensis + Sporothrix insectorum + Sporothrix schenckii	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Sordariales/f_/g_	Sordariales		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Sordariales/f_/g_Madurella	Madurella	Madurella mycetomatis	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Sordariales/f_Chaetomiaceae/g_	Chaetomiaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Sordariales/f_Chaetomiaceae/g_Chaetomium	Chaetomium	Chaetomium globosum + Chaetomium thermophilum	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Sordariales/f_Chaetomiaceae/g_Podospora	Podospora	Podospora anserina	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Sordariales/f_Chaetomiaceae/g_Thermothelomyces	Thermothelomyces	Thermothelomyces thermophilus	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Sordariales/f_Chaetomiaceae/g_Thermothielavioides	Thermothielavioides	Thermothielavioides terrestris	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Sordariales/f_Sordariaceae/g_	Sordariaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Sordariales/f_Sordariaceae/g_Neurospora	Neurospora	Neurospora crassa + Neurospora tetrasperma	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Sordariales/f_Sordariaceae/g_Sordaria	Sordaria	Sordaria macrospora	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Togniniales/f_Togniniaceae/g_Phaeoacremonium	Phaeoacremonium	Phaeoacremonium minimum	PARA	Obligate	Endophyte			Grapevine Trunk Diseases	Phytopathogen	https://doi.org/10.1128/JCM.43.4.1752-1767.2005				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Xylariales/f_/g_	Xylariales		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Xylariales/f_Diatrypaceae/g_Eutypa	Eutypa	Eutypa lata + Eutypa linearis	PARA	Obligate	Endophyte		Necrotrophic	Eutypa dieback	Phytopathogen	https://doi.org/10.1017/s0953756204000863				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Xylariales/f_Hypoxylaceae/g_	Hypoxylaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Xylariales/f_Hypoxylaceae/g_Daldinia	Daldinia	Daldinia sp. EC12	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Xylariales/f_Hypoxylaceae/g_Hypoxylon	Hypoxylon	Hypoxylon sp. CI-4A + Hypoxylon sp. CO27-5 + Hypoxylon sp. EC38	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Xylariales/f_Microdochiaceae/g_Microdochium	Microdochium	Microdochium bolleyi	PARA	Obligate	Endophyte		Biotrophic		Phytopathogen	https://doi.org/10.1016/S0168-6496(03)00161-2				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Xylariales/f_Pseudomassariaceae/g_Pseudomassariella	Pseudomassariella	Pseudomassariella vexata	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Xylariales/f_Sporocadaceae/g_Pestalotiopsis	Pestalotiopsis	Pestalotiopsis fici	PARA	Obligate	Endophyte		Biotrophic		Phytopathogen	https://doi.org/10.1186/s12864-014-1190-9				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Xylariales/f_Xylariaceae/g_Rosellinia	Rosellinia	Rosellinia necatrix	PARA	Obligate	Endophyte		Hemibiotrophic	avocado white root rot	Phytopathogen	https://doi.org/10.1371/journal.pone.0212359				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Taphrinomycetes/o_Taphrinales/f_/g_	Taphrinales		PARA	Obligate					Phytopathogen					Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Taphrinomycetes/o_Taphrinales/f_Protomycetaceae/g_Protomyces	Protomyces	Protomyces lactucaedebilis	PARA	Obligate	Endophyte		Biotrophic		Phytopathogen	https://doi.org/10.1111/brv.12510				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Taphrinomycetes/o_Taphrinales/f_Taphrinaceae/g_Taphrina	Taphrina	Taphrina deformans	PARA	Obligate	Endophyte		Biotrophic	peach leaf curl	Phytopathogen	https://doi.org/10.1128/mBio.00055-13				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Xylonomycetes/o_Xylonales/f_Xylonaceae/g_Xylona	Xylona	Xylona heveae	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_/o_/f_/g_	Basidiomycota		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_/f_/g_	Agaricomycetes		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_/g_	Agaricales		Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Agaricaceae/g_	Agaricaceae		Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Agaricaceae/g_Agaricus	Agaricus	Agaricus bisporus	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Agaricaceae/g_Leucoagaricus	Leucoagaricus	Leucoagaricus sp. SymC.cos	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Amanitaceae/g_Amanita	Amanita	Amanita muscaria + Amanita thiersii	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Cortinariaceae/g_Hebeloma	Hebeloma	Hebeloma cylindrosporum	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Fistulinaceae/g_Fistulina	Fistulina	Fistulina hepatica	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Lyophyllaceae/g_Hypsizygus	Hypsizygus	Hypsizygus marmoreus	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Lyophyllaceae/g_Termitomyces	Termitomyces	Termitomyces sp. J132	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Marasmiaceae/g_Moniliophthora	Moniliophthora	Moniliophthora roreri	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Mycenaceae/g_Mycena	Mycena	Mycena chlorophos	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Omphalotaceae/g_	Omphalotaceae		Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Omphalotaceae/g_Gymnopus	Gymnopus	Gymnopus luxurians	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Omphalotaceae/g_Lentinula	Lentinula	Lentinula edodes	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Physalacriaceae/g_Armillaria	Armillaria	Armillaria gallica + Armillaria ostoyae + Armillaria solidipes	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Physalacriaceae/g_Cylindrobasidium	Cylindrobasidium	Cylindrobasidium torrendii	Pluri- or multi-cellular	Lichen										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Physalacriaceae/g_Flammulina	Flammulina	Flammulina velutipes	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Pleurotaceae/g_Pleurotus	Pleurotus	Pleurotus ostreatus	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Pluteaceae/g_Volvariella	Volvariella	Volvariella volvacea	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Psathyrellaceae/g_Coprinopsis	Coprinopsis	Coprinopsis cinerea	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Schizophyllaceae/g_Schizophyllum	Schizophyllum	Schizophyllum commune	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Strophariaceae/g_	Strophariaceae		Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Strophariaceae/g_Galerina	Galerina	Galerina marginata	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Strophariaceae/g_Hypholoma	Hypholoma	Hypholoma sublateritium	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Agaricales/f_Tricholomataceae/g_Laccaria	Laccaria	Laccaria amethystina + Laccaria bicolor	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Amylocorticiales/f_Amylocorticiaceae/g_Plicaturopsis	Plicaturopsis	Plicaturopsis crispa	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Atheliales/f_Atheliaceae/g_	Atheliaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Atheliales/f_Atheliaceae/g_Fibularhizoctonia	Fibularhizoctonia	Fibularhizoctonia sp. CBS 109695	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Atheliales/f_Atheliaceae/g_Piloderma	Piloderma	Piloderma croceum	Pluri- or multi-cellular	Lichen										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Auriculariales/f_Auriculariaceae/g_Auricularia	Auricularia	Auricularia subglabra	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Auriculariales/f_Exidiaceae/g_Exidia	Exidia	Exidia glandulosa	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Boletales/f_/g_	Boletales		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Boletales/f_Paxillaceae/g_	Paxillaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Boletales/f_Paxillaceae/g_Hydnomerulius	Hydnomerulius	Hydnomerulius pinastri	Pluri- or multi-cellular	Lichen										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Boletales/f_Paxillaceae/g_Paxillus	Paxillus	Paxillus involutus + Paxillus rubicundulus	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Boletales/f_Pisolithaceae/g_Pisolithus	Pisolithus	Pisolithus microcarpus + Pisolithus tinctorius	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Boletales/f_Rhizopogonaceae/g_Rhizopogon	Rhizopogon	Rhizopogon vesiculosus + Rhizopogon vinicolor	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Boletales/f_Sclerodermataceae/g_Scleroderma	Scleroderma	Scleroderma citrinum	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Boletales/f_Serpulaceae/g_Serpula	Serpula	Serpula lacrymans	Pluri- or multi-cellular	Lichen										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Boletales/f_Suillaceae/g_Suillus	Suillus	Suillus luteus	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Cantharellales/f_/g_	Cantharellales		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Cantharellales/f_Botryobasidiaceae/g_Botryobasidium	Botryobasidium	Botryobasidium botryosum	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Cantharellales/f_Ceratobasidiaceae/g_Rhizoctonia	Rhizoctonia	Rhizoctonia solani	PARA	Facultative	Endophyte		Necrotrophic	"damping off, stem lesions, stem rot, root rot, crown rot, and aerial web blighting"	Phytopathogen	https://doi.org/10.1111/ppa.12733				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Cantharellales/f_Tulasnellaceae/g_Tulasnella	Tulasnella	Tulasnella calospora	Pluri- or multi-cellular	Lichen										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Corticiales/f_Punctulariaceae/g_Punctularia	Punctularia	Punctularia strigosozonata	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Geastrales/f_Sphaerobolaceae/g_Sphaerobolus	Sphaerobolus	Sphaerobolus stellatus	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Gloeophyllales/f_Gloeophyllaceae/g_	Gloeophyllaceae		Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Basidiomycota/c_Agaricomycetes/o_Gloeophyllales/f_Gloeophyllaceae/g_Gloeophyllum	Gloeophyllum	Gloeophyllum trabeum	Pluri- or multi-cellular	Multicellular fungus										No
